Place,State,Type,Place Type,In particular,County/Parish/Borough,Country,Division,Jurisdiction
Adams,WI,Government,County,County Board,-,US,ocd-division/country:us/state:wi/county:adams,
Ashland,WI,Government,County,County Board,-,US,ocd-division/country:us/state:wi/county:ashland,
Barron,WI,Government,County,County Board,-,US,ocd-division/country:us/state:wi/county:barron,
Bayfield,WI,Government,County,County Board,-,US,ocd-division/country:us/state:wi/county:bayfield,
Brown,WI,Government,County,County Board,-,US,ocd-division/country:us/state:wi/county:brown,
Buffalo,WI,Government,County,County Board,-,US,ocd-division/country:us/state:wi/county:buffalo,
Burnett,WI,Government,County,County Board,-,US,ocd-division/country:us/state:wi/county:burnett,
Calumet,WI,Government,County,County Board,-,US,ocd-division/country:us/state:wi/county:calumet,
Chippewa,WI,Government,County,County Board,-,US,ocd-division/country:us/state:wi/county:chippewa,
Clark,WI,Government,County,County Board,-,US,ocd-division/country:us/state:wi/county:clark,
Columbia,WI,Government,County,County Board,-,US,ocd-division/country:us/state:wi/county:columbia,
Crawford,WI,Government,County,County Board,-,US,ocd-division/country:us/state:wi/county:crawford,
Dane,WI,Government,County,County Board,-,US,ocd-division/country:us/state:wi/county:dane,
Dodge,WI,Government,County,County Board,-,US,ocd-division/country:us/state:wi/county:dodge,
Door,WI,Government,County,County Board,-,US,ocd-division/country:us/state:wi/county:door,
Douglas,WI,Government,County,County Board,-,US,ocd-division/country:us/state:wi/county:douglas,
Dunn,WI,Government,County,County Board,-,US,ocd-division/country:us/state:wi/county:dunn,
Eau Claire,WI,Government,County,County Board,-,US,ocd-division/country:us/state:wi/county:eau_claire,
Florence,WI,Government,County,County Board,-,US,ocd-division/country:us/state:wi/county:florence,
Fond du Lac,WI,Government,County,County Board,-,US,ocd-division/country:us/state:wi/county:fond_du_lac,
Forest,WI,Government,County,County Board,-,US,ocd-division/country:us/state:wi/county:forest,
Grant,WI,Government,County,County Board,-,US,ocd-division/country:us/state:wi/county:grant,
Green,WI,Government,County,County Board,-,US,ocd-division/country:us/state:wi/county:green,
Green Lake,WI,Government,County,County Board,-,US,ocd-division/country:us/state:wi/county:green_lake,
Iowa,WI,Government,County,County Board,-,US,ocd-division/country:us/state:wi/county:iowa,
Iron,WI,Government,County,County Board,-,US,ocd-division/country:us/state:wi/county:iron,
Jackson,WI,Government,County,County Board,-,US,ocd-division/country:us/state:wi/county:jackson,
Jefferson,WI,Government,County,County Board,-,US,ocd-division/country:us/state:wi/county:jefferson,
Juneau,WI,Government,County,County Board,-,US,ocd-division/country:us/state:wi/county:juneau,
Kenosha,WI,Government,County,County Board,-,US,ocd-division/country:us/state:wi/county:kenosha,
Kewaunee,WI,Government,County,County Board,-,US,ocd-division/country:us/state:wi/county:kewaunee,
La Crosse,WI,Government,County,County Board,-,US,ocd-division/country:us/state:wi/county:la_crosse,
Lafayette,WI,Government,County,County Board,-,US,ocd-division/country:us/state:wi/county:lafayette,
Langlade,WI,Government,County,County Board,-,US,ocd-division/country:us/state:wi/county:langlade,
Lincoln,WI,Government,County,County Board,-,US,ocd-division/country:us/state:wi/county:lincoln,
Manitowoc,WI,Government,County,County Board,-,US,ocd-division/country:us/state:wi/county:manitowoc,
Marathon,WI,Government,County,County Board,-,US,ocd-division/country:us/state:wi/county:marathon,
Marinette,WI,Government,County,County Board,-,US,ocd-division/country:us/state:wi/county:marinette,
Marquette,WI,Government,County,County Board,-,US,ocd-division/country:us/state:wi/county:marquette,
Menominee,WI,Government,County,County Board,-,US,ocd-division/country:us/state:wi/county:menominee,
Milwaukee,WI,Government,County,County Board,-,US,ocd-division/country:us/state:wi/county:milwaukee,
Monroe,WI,Government,County,County Board,-,US,ocd-division/country:us/state:wi/county:monroe,
Oconto,WI,Government,County,County Board,-,US,ocd-division/country:us/state:wi/county:oconto,
Oneida,WI,Government,County,County Board,-,US,ocd-division/country:us/state:wi/county:oneida,
Outagamie,WI,Government,County,County Board,-,US,ocd-division/country:us/state:wi/county:outagamie,
Ozaukee,WI,Government,County,County Board,-,US,ocd-division/country:us/state:wi/county:ozaukee,
Pepin,WI,Government,County,County Board,-,US,ocd-division/country:us/state:wi/county:pepin,
Pierce,WI,Government,County,County Board,-,US,ocd-division/country:us/state:wi/county:pierce,
Polk,WI,Government,County,County Board,-,US,ocd-division/country:us/state:wi/county:polk,
Portage,WI,Government,County,County Board,-,US,ocd-division/country:us/state:wi/county:portage,
Price,WI,Government,County,County Board,-,US,ocd-division/country:us/state:wi/county:price,
Racine,WI,Government,County,County Board,-,US,ocd-division/country:us/state:wi/county:racine,
Richland,WI,Government,County,County Board,-,US,ocd-division/country:us/state:wi/county:richland,
Rock,WI,Government,County,County Board,-,US,ocd-division/country:us/state:wi/county:rock,
Rusk,WI,Government,County,County Board,-,US,ocd-division/country:us/state:wi/county:rusk,
Sauk,WI,Government,County,County Board,-,US,ocd-division/country:us/state:wi/county:sauk,
Sawyer,WI,Government,County,County Board,-,US,ocd-division/country:us/state:wi/county:sawyer,
Shawano,WI,Government,County,County Board,-,US,ocd-division/country:us/state:wi/county:shawano,
Sheboygan,WI,Government,County,County Board,-,US,ocd-division/country:us/state:wi/county:sheboygan,
St. Croix,WI,Government,County,County Board,-,US,ocd-division/country:us/state:wi/county:st_croix,
Taylor,WI,Government,County,County Board,-,US,ocd-division/country:us/state:wi/county:taylor,
Trempealeau,WI,Government,County,County Board,-,US,ocd-division/country:us/state:wi/county:trempealeau,
Vernon,WI,Government,County,County Board,-,US,ocd-division/country:us/state:wi/county:vernon,
Vilas,WI,Government,County,County Board,-,US,ocd-division/country:us/state:wi/county:vilas,
Walworth,WI,Government,County,County Board,-,US,ocd-division/country:us/state:wi/county:walworth,
